patient_id,first_name,last_name,age,gender,dob,admission_date,discharge_date,diagnosis,blood_type,SSN
255,Tod,Hess,86,Male,9/10/1980,1/8/2021,1/3/2022,Stroke,O-,786-70-5316
256,Rodi,Blaszkiewicz,44,Female,6/11/1979,8/10/2022,2/3/2021,Stroke,B-,726-13-2915
257,Nolan,Du Barry,105,Male,9/25/1909,9/20/2020,11/27/2021,Heart Disease,B+,665-45-4721
258,Faustina,Oherlihy,60,Polygender,3/7/2006,7/6/2020,2/4/2020,Stroke,A-,750-14-6722
259,Dulci,Battie,28,Female,1/7/1950,10/22/2020,3/5/2021,Diabetes,A-,544-35-8424
260,Angel,Kilborn,5,Female,7/20/1917,4/2/2020,4/9/2021,COVID-19,A-,271-15-0732
261,Ian,Radford,43,Male,4/15/1996,10/22/2020,7/25/2022,Diabetes,A-,295-48-0022
262,Gwenora,Eustanch,92,Female,1/6/1949,7/11/2022,12/11/2020,COVID-19,AB-,355-44-0823
263,Jordanna,Umbers,114,Genderfluid,9/10/1976,6/14/2022,6/17/2022,Diabetes,A+,110-08-1397
264,Barron,Peartree,69,Male,10/21/2016,1/29/2021,11/26/2021,Heart Disease,B+,525-15-7589
265,Nari,Pitrasso,25,Female,11/11/1903,11/13/2022,9/23/2021,Stroke,A+,165-17-4302
266,Denver,Reams,34,Male,8/23/2020,4/9/2022,6/17/2020,Cancer,B-,889-97-3073
267,Roanna,Becket,58,Female,1/9/1935,4/26/2020,7/11/2022,Stroke,O+,886-69-5164
268,Harry,Kinglesyd,119,Male,7/6/1950,11/8/2020,4/1/2020,Heart Disease,O-,150-72-1549
269,Hamilton,Verity,49,Male,1/26/2019,5/6/2021,9/24/2021,Diabetes,B-,173-70-2846
270,Stace,Manzell,42,Female,12/16/2021,12/29/2021,3/5/2021,Cancer,O+,731-50-8874
271,Doralin,Western,100,Female,8/20/1948,3/27/2021,3/11/2021,Diabetes,A+,730-85-7865
272,Lalo,Brunker,5,Male,1/22/1968,3/12/2020,2/20/2021,Stroke,AB-,755-67-9428
273,Arri,Paley,17,Male,3/3/1924,3/1/2021,12/29/2021,Stroke,O-,748-92-2854
274,Gaultiero,Minchinton,80,Male,5/27/1991,3/4/2021,6/12/2022,Cancer,AB+,472-85-1534
275,Gail,Flaonier,27,Female,12/30/1962,11/18/2020,6/18/2021,Diabetes,B+,812-74-5251
276,Betta,O' Borne,89,Female,4/10/1917,7/13/2021,7/6/2021,Stroke,O-,541-82-1336
277,Rhodie,Khidr,6,Female,2/23/1903,4/15/2021,1/31/2020,Diabetes,AB+,803-56-4855
278,Henrik,Hallgarth,16,Male,5/9/1984,3/1/2022,5/13/2020,Heart Disease,A+,460-26-6916
279,Lory,Wadge,34,Female,6/6/2005,9/28/2020,7/25/2020,Cancer,AB-,696-19-0736
280,Dionysus,Blampey,23,Male,12/10/1938,12/26/2021,6/20/2021,Diabetes,O-,648-68-4102
281,Mal,Muttitt,46,Male,9/2/1906,9/5/2020,7/30/2020,Heart Disease,B+,564-69-5223
282,Constantine,McAvaddy,15,Male,11/11/1992,3/25/2020,6/16/2020,COVID-19,A+,883-59-7425
283,Rafaello,Innot,41,Male,1/30/1919,10/13/2022,6/25/2022,Diabetes,AB+,733-23-5802
284,Dorthy,Bowman,20,Female,6/24/2013,8/2/2022,5/27/2022,Diabetes,AB-,173-92-0056
285,Gretna,Ickovitz,41,Female,11/3/1954,9/25/2020,12/20/2022,Diabetes,AB+,823-19-4795
286,Wilbur,Showt,63,Male,5/19/2020,12/1/2020,5/3/2022,COVID-19,B+,461-46-8029
287,Sidney,Adel,65,Male,12/17/2002,12/12/2020,8/31/2021,Diabetes,AB+,309-27-2238
288,Birch,Hlavac,16,Male,4/18/2010,4/19/2020,5/4/2022,Stroke,A+,203-56-0127
289,Cello,Escala,22,Male,4/9/1976,9/30/2020,7/26/2020,Heart Disease,B-,471-48-3134
290,Grady,McPherson,84,Male,12/19/1904,1/7/2022,4/30/2022,COVID-19,A+,479-60-0094
291,Renault,Wilcockes,69,Male,2/6/2009,2/23/2021,11/25/2020,Heart Disease,A-,455-49-6033
292,Terrijo,Kemmis,97,Female,10/19/1988,7/11/2022,7/15/2020,Cancer,A+,320-24-8856
293,Vikki,Gascar,50,Female,12/28/1912,6/19/2020,3/24/2022,Cancer,B-,228-01-4258
294,Clarabelle,Meharg,41,Female,3/23/1952,9/18/2021,3/30/2021,Cancer,AB-,899-72-6779
295,Lezley,Elsmore,13,Male,7/4/1965,11/16/2021,11/28/2021,Heart Disease,AB+,176-51-3285
296,Porter,Harmes,111,Agender,11/2/1924,10/7/2020,3/20/2021,COVID-19,AB+,599-50-4367
297,Leupold,MacGorman,51,Male,4/14/1929,7/11/2022,4/19/2020,Diabetes,AB+,149-73-1236
298,Joete,Banishevitz,103,Female,12/9/1943,6/21/2022,11/12/2021,Heart Disease,A-,758-98-0719
299,Rufe,Kegan,98,Genderqueer,10/4/1948,7/20/2020,8/4/2022,Diabetes,O-,327-42-6970
300,Lulita,Erratt,91,Female,7/25/1970,7/6/2022,9/2/2020,Stroke,AB+,697-15-9247
301,Ricca,Patterson,115,Female,5/15/2000,11/4/2021,2/24/2020,Heart Disease,AB+,105-93-7945
302,Vikki,Loblie,1,Female,11/4/1965,12/17/2022,3/23/2021,Diabetes,AB-,166-75-6083
303,Red,Upward,91,Male,6/11/2008,8/10/2022,12/17/2021,COVID-19,AB-,501-61-0353
304,Hedwig,Dumingos,53,Female,11/23/1976,12/25/2022,9/24/2022,Stroke,A-,593-16-7150
305,Donnell,Danter,49,Male,1/20/1914,12/11/2022,3/2/2021,COVID-19,O-,827-89-1148
306,Stevena,Chominski,6,Female,1/1/1983,7/1/2021,9/16/2021,Stroke,A+,254-09-4878
307,Chalmers,Chander,120,Male,7/25/1993,12/3/2021,12/31/2020,Diabetes,O-,707-97-3095
308,Sephira,Starcks,65,Female,2/14/2019,5/13/2022,11/12/2020,COVID-19,O-,394-49-9947
309,Rockwell,Nigh,29,Male,10/20/1979,1/30/2022,3/2/2020,Cancer,A-,545-43-3492
310,Frans,Egre,103,Male,4/5/2012,7/21/2020,8/25/2020,Diabetes,AB-,770-66-4553
311,Nani,Vasilevich,95,Female,10/29/2012,1/25/2022,2/8/2022,COVID-19,O+,235-74-2174
312,Barbara,Piatti,107,Female,7/4/1989,8/13/2021,7/12/2022,Stroke,B-,392-54-3897
313,Tamiko,Fernanando,110,Female,9/21/1931,11/9/2021,8/7/2022,Cancer,AB-,536-55-2713
314,Beale,Bettridge,110,Non-binary,4/5/1915,1/21/2022,11/1/2021,Diabetes,A+,892-60-3082
315,Mead,Behrend,107,Male,1/22/1958,7/14/2022,6/16/2020,COVID-19,O-,628-71-1961
316,Zola,Swanton,80,Female,6/2/1963,6/4/2021,3/3/2021,Cancer,AB+,586-54-2707
317,Giselle,Presslee,23,Female,2/5/1923,1/29/2021,9/17/2022,Heart Disease,A-,596-17-6746
318,Waldemar,Race,39,Male,10/6/2011,9/24/2022,9/11/2022,Diabetes,AB+,424-83-0731
319,Ollie,Shailer,44,Female,11/8/1968,12/31/2021,4/14/2020,Stroke,A-,825-31-8948
320,Jan,Mathwen,32,Female,6/26/1977,12/12/2021,6/18/2022,Cancer,AB-,809-67-9115
321,Cassandre,Pfleger,13,Female,10/6/1990,3/9/2020,8/20/2020,Diabetes,A+,371-11-6521
322,Anallise,Siburn,44,Female,10/2/1916,9/30/2022,10/17/2022,Stroke,O+,128-73-3018
323,Ellissa,Stolze,108,Female,11/8/1923,11/3/2020,7/10/2020,Stroke,A-,834-26-3823
324,Antony,Keeri,43,Male,8/7/1941,8/5/2022,9/28/2021,COVID-19,A+,663-22-8446
325,Claudie,Kopmann,51,Female,2/15/1994,1/7/2022,5/21/2021,Cancer,B-,887-35-1443
326,Griffy,Braddick,38,Male,9/29/1914,7/24/2022,1/28/2022,Stroke,AB-,540-03-3870
327,Allis,Lambert-Ciorwyn,86,Female,8/16/1993,5/23/2021,8/2/2022,Stroke,A+,202-55-7737
328,Hillel,Lowers,52,Male,7/30/1914,12/23/2020,8/19/2021,Stroke,A+,707-71-1627
329,Byran,Limer,115,Male,7/12/1942,4/4/2021,3/6/2022,COVID-19,AB-,252-67-1210
330,Rhianna,Swannack,77,Female,7/9/1936,10/15/2021,5/6/2020,Stroke,AB-,127-01-1203
331,Augusta,Trittam,104,Polygender,7/28/1944,3/2/2021,8/31/2022,Heart Disease,A-,360-31-3721
332,Sadie,Rawsen,105,Female,7/16/1968,6/7/2021,1/14/2021,Stroke,B-,589-15-6916
333,Kevin,Sleit,33,Bigender,11/20/1919,4/23/2020,3/8/2022,Stroke,AB-,322-96-4746
334,Lauritz,Omar,43,Male,10/25/2017,8/4/2021,12/11/2020,Heart Disease,A-,488-42-4638
335,Clarence,Mitchell,38,Male,4/27/2011,12/27/2021,11/6/2020,Stroke,B+,518-16-7275
336,Brittani,Hallatt,20,Female,10/16/2004,7/22/2021,2/4/2022,COVID-19,A-,284-86-7739
337,Joline,McCaw,55,Female,5/28/1964,4/3/2022,10/15/2022,Cancer,O+,300-32-8277
338,Aidan,Tubritt,93,Genderqueer,8/26/2016,6/5/2021,10/2/2022,Cancer,O+,642-34-8947
339,Rosco,Mayston,28,Male,4/4/1916,7/20/2022,2/24/2020,Cancer,O-,563-26-6474
340,Jake,Duthie,99,Male,4/15/1993,5/3/2020,8/27/2022,COVID-19,AB-,271-18-7758
341,Lisle,Koppe,4,Male,9/18/1902,8/19/2022,7/24/2020,Heart Disease,AB+,474-62-5217
342,Mellicent,Seyffert,45,Female,6/4/1915,6/29/2021,8/15/2020,Cancer,O-,782-35-8094
343,Othello,Harkins,11,Male,9/4/1913,12/30/2020,2/6/2020,Diabetes,O-,305-33-7490
344,Rosie,Jacqueme,53,Female,12/27/2001,7/13/2022,6/24/2021,Heart Disease,A+,214-12-7698
345,Whitman,Knutsen,28,Male,4/20/1952,5/5/2020,9/3/2020,Heart Disease,AB+,772-94-9206
346,Morry,Dmych,76,Male,5/25/1980,10/6/2022,8/6/2021,Cancer,O-,620-21-6600
347,Lyndsey,Bance,3,Female,2/20/1942,1/4/2021,10/19/2021,Heart Disease,O-,483-25-0624
348,Noe,O'Loughane,86,Male,4/14/1960,2/23/2020,10/10/2022,Diabetes,A+,682-65-9982
349,Jena,Deary,101,Female,7/28/1926,2/2/2021,8/13/2021,Stroke,O-,561-93-9747
350,Tatiana,Garvey,89,Female,2/10/1999,8/8/2022,10/8/2021,Heart Disease,A+,153-25-1051
351,Bernie,McDonand,55,Female,5/6/1978,1/15/2022,4/18/2021,Stroke,AB-,293-51-8348
352,Lisa,Digg,101,Female,5/26/1952,11/21/2020,11/28/2022,Stroke,B-,319-56-7684
353,Bartolomeo,Ledster,73,Male,7/27/1973,1/28/2020,2/23/2022,Heart Disease,AB-,177-36-5495
354,Nonie,McElory,20,Female,7/31/1999,9/20/2021,1/16/2022,COVID-19,O-,616-18-6823
355,Esteban,Baldung,76,Male,12/7/1988,4/21/2022,2/23/2022,COVID-19,B-,469-18-5184
356,Stanleigh,Ribey,32,Genderqueer,7/8/2017,3/2/2022,11/30/2022,Cancer,A-,545-59-8508
357,Jazmin,Jotham,71,Female,6/23/1945,2/20/2021,4/30/2021,Heart Disease,AB+,486-91-0785
358,Hanny,Beggini,57,Female,7/7/1982,3/7/2022,5/15/2020,Cancer,AB+,335-86-2528
359,Rutledge,Sutherns,4,Male,1/26/1959,2/11/2021,9/1/2020,Heart Disease,A-,141-50-3992
360,Ynes,Feeney,73,Female,6/11/2019,5/3/2020,11/28/2020,Cancer,O+,377-61-3389
361,Whittaker,Watsham,92,Male,1/26/1952,1/13/2021,3/15/2020,COVID-19,A-,191-42-0653
362,Petronille,Sansam,101,Female,11/24/1930,7/27/2022,1/28/2020,Heart Disease,A-,616-55-4577
363,Estrella,Charlewood,82,Female,7/29/1986,4/22/2021,11/13/2021,Cancer,AB+,191-05-2706
364,Ira,Budget,53,Female,7/20/1959,1/25/2021,7/24/2020,Heart Disease,AB-,777-83-9603
365,Merrie,Goundsy,114,Female,7/24/1904,5/17/2021,3/7/2020,Cancer,AB-,187-02-6161
366,Con,Standingford,30,Genderqueer,11/1/1989,6/2/2022,3/6/2021,COVID-19,B+,421-13-1858
367,Giorgia,Basile,118,Agender,3/25/1951,6/30/2022,4/16/2020,Diabetes,O-,764-50-0644
368,Jeremie,Moodey,19,Male,10/25/1962,9/6/2020,10/19/2022,COVID-19,A-,670-15-2702
369,Greg,Stilwell,98,Male,12/6/1977,3/24/2022,6/19/2020,Stroke,O+,263-65-6561
370,Blair,Paeckmeyer,99,Male,3/12/1960,7/26/2022,3/4/2022,COVID-19,O-,867-09-7021
371,Morris,Kirwin,108,Male,8/24/1940,5/30/2021,7/24/2020,Stroke,O+,369-53-5062
372,Goddard,Dabes,84,Male,5/12/2018,8/9/2021,8/30/2022,Heart Disease,O-,760-48-6830
373,Heindrick,Kienl,80,Male,11/27/1956,9/9/2022,7/13/2022,COVID-19,AB-,897-62-4659
374,Kira,Scargle,25,Polygender,11/10/1968,8/3/2020,3/1/2021,Heart Disease,B+,837-35-9611
375,Celestina,Farndon,34,Female,8/5/1973,9/9/2021,6/14/2021,Diabetes,B+,237-99-8061
376,Craggy,Caudle,14,Male,7/18/1945,2/13/2021,11/25/2021,Stroke,B+,668-24-7282
377,Diego,Escala,18,Male,10/13/1946,6/8/2022,9/1/2021,COVID-19,AB-,733-46-1590
378,Yolanda,Foddy,8,Female,10/25/1971,2/12/2021,3/22/2021,Diabetes,AB-,716-55-5876
379,Conchita,Whitters,15,Female,5/26/1958,7/11/2020,1/3/2022,Stroke,O+,404-53-6912
380,Renault,Goney,10,Male,2/23/1998,10/2/2020,3/27/2022,Cancer,AB+,263-35-8615
381,Caz,Oldacres,42,Male,12/17/2013,5/11/2021,6/4/2021,Cancer,O-,409-50-0956
382,Guillaume,Elliker,33,Male,10/9/2003,8/13/2022,3/17/2020,COVID-19,B+,878-72-8855
383,Skye,Stace,88,Male,1/30/1936,12/11/2021,4/24/2020,COVID-19,A+,180-65-1405
384,Beau,Lebel,63,Male,8/4/1949,9/12/2021,5/19/2022,Diabetes,B+,415-85-3887
385,Dicky,Tackell,13,Male,7/18/1970,12/12/2020,8/25/2020,Cancer,O-,895-53-1820
386,Sydel,Walesby,17,Female,12/31/1910,5/22/2020,5/10/2021,Cancer,O+,691-48-7441
387,Elroy,Deas,62,Male,12/16/1927,4/6/2021,7/19/2022,COVID-19,B-,613-32-7081
388,Tamar,Addlestone,44,Female,1/30/1929,3/3/2020,7/19/2022,COVID-19,O+,199-10-6100
389,Allx,Churchley,34,Female,1/14/1997,12/29/2022,2/12/2022,Diabetes,A+,290-89-7665
390,Stillmann,Clare,51,Male,2/6/1960,8/9/2022,11/10/2022,Cancer,O+,462-19-6829
391,Gunner,Van den Broek,96,Male,11/23/1988,12/11/2022,6/2/2021,Diabetes,O-,432-93-3818
392,Daren,Sewley,97,Genderfluid,7/22/1929,11/14/2021,10/15/2020,Cancer,A-,324-18-7617
393,Mattie,Michallat,97,Male,5/29/2009,6/27/2021,11/20/2020,Heart Disease,A-,851-08-7254
394,Betteanne,McKelvie,85,Female,7/6/2013,8/1/2022,7/29/2021,Heart Disease,O-,422-27-8651
395,Gard,Mc Caghan,98,Non-binary,5/3/1987,2/7/2021,11/23/2021,Diabetes,AB-,157-12-1487
396,Erika,Goudge,44,Female,2/13/1906,11/24/2021,5/7/2020,Diabetes,AB+,203-79-8333
397,Justus,McCorkindale,111,Male,1/11/2014,1/13/2022,2/11/2022,Diabetes,A+,676-47-5438
398,Griswold,Philimore,40,Male,1/30/1902,10/29/2020,1/25/2022,Heart Disease,O+,132-30-0218
399,Brigg,Mustoo,13,Male,5/1/1904,4/30/2021,10/4/2021,Heart Disease,O+,266-09-5982
400,Kristan,Pagnin,92,Female,4/28/1931,2/16/2022,3/26/2020,Cancer,A+,797-47-2966
401,Booth,Avrahamov,120,Male,1/2/1904,4/4/2022,5/11/2021,Heart Disease,O+,660-52-0651
402,Kitty,Holdin,62,Female,12/15/2016,7/5/2022,11/17/2022,Cancer,AB-,695-58-1405
403,Libbey,Honeyghan,32,Female,8/16/1903,1/16/2021,7/23/2021,Cancer,A-,313-12-3219
404,Morly,Bythway,100,Male,8/9/2005,2/21/2022,3/20/2022,Heart Disease,B+,308-16-1385
405,Carce,Hayto,100,Male,1/13/1954,6/4/2020,2/4/2021,Heart Disease,AB+,838-44-9914
406,Joelynn,de Verson,15,Agender,10/26/1928,5/14/2022,7/31/2022,Stroke,B-,154-40-5322
407,Bria,Bjerkan,76,Female,4/5/1920,11/27/2022,2/15/2021,Cancer,B+,563-48-2623
408,Bryn,Loftin,45,Female,8/8/1952,7/16/2022,3/23/2022,COVID-19,B-,330-94-7081
409,Cecilius,McClenaghan,36,Non-binary,7/2/1916,12/22/2021,12/6/2021,Stroke,B-,501-08-0183
410,Myriam,Duffil,111,Female,4/15/1953,4/10/2021,11/15/2020,Stroke,A+,790-66-0575
411,Agretha,Bauchop,12,Female,10/29/1981,1/1/2021,3/19/2022,COVID-19,AB-,537-14-5929
412,Angelina,Adolf,0,Female,12/27/1979,10/20/2022,10/20/2021,Cancer,B+,217-35-0261
413,Flori,Audritt,68,Female,7/21/1986,8/28/2022,6/7/2021,Diabetes,B+,474-25-4273
414,Jens,Bernardoni,10,Male,2/20/2002,9/17/2020,12/11/2020,Diabetes,O-,540-10-7920
415,Kleon,Labbez,53,Male,3/14/1989,7/30/2021,10/15/2022,Cancer,O+,813-95-7299
416,Hendrik,Cleall,5,Male,4/10/1949,3/30/2022,3/26/2022,Diabetes,A+,644-35-3171
417,Giles,Yakushkin,16,Male,8/19/1977,2/21/2020,9/10/2020,Stroke,O+,498-67-2148
418,Menard,Miebes,5,Male,11/13/1987,5/8/2021,8/25/2022,Diabetes,B-,696-37-4194
419,Nata,Hamlett,108,Female,4/28/1911,8/3/2021,3/17/2022,COVID-19,A+,566-47-3427
420,Starla,Pate,38,Female,2/13/2016,4/29/2020,10/23/2021,Cancer,B-,746-66-2363
421,Darsie,Cumberpatch,43,Female,1/27/2010,11/19/2022,9/7/2022,Heart Disease,B+,745-55-5888
422,Dorelia,Maylin,85,Female,7/29/1973,7/3/2022,5/27/2022,Cancer,O+,786-34-0835
423,Perla,Marin,77,Female,3/13/2018,7/19/2020,12/12/2020,Stroke,A-,413-44-7632
424,Idalia,Cale,10,Female,6/17/1962,5/22/2022,8/12/2022,Diabetes,B-,812-61-5012
425,Brit,Haglinton,50,Male,10/19/2011,1/3/2020,8/6/2020,Heart Disease,O+,877-82-4962
426,Eloisa,Hefferon,110,Female,5/18/1983,8/23/2022,3/17/2021,COVID-19,O-,642-72-4734
427,Constantin,Dudlestone,27,Male,1/10/1927,3/18/2020,9/15/2021,Stroke,O-,407-02-4211
428,Brietta,Volette,63,Female,4/19/1955,12/24/2021,10/21/2021,Cancer,B-,138-34-5188
429,Aymer,Pyecroft,68,Male,8/2/1922,10/23/2021,7/10/2020,Cancer,O-,457-64-7330
430,Thaxter,Fouracre,101,Polygender,8/7/1930,11/20/2020,11/4/2020,Cancer,B+,425-02-2957
431,Lonee,Shark,4,Female,4/2/1928,12/1/2021,5/12/2021,Diabetes,A+,308-75-6163
432,Eba,Maccraw,111,Female,7/13/1956,12/30/2022,3/1/2022,COVID-19,O-,322-58-6655
433,Kele,McCreedy,108,Male,11/11/2018,1/18/2020,9/21/2020,Cancer,A+,298-01-9594
434,Gaylene,Stoite,13,Female,6/24/1940,7/2/2020,11/6/2020,Cancer,AB-,129-31-0405
435,Constantina,Gilbard,47,Female,3/24/1986,3/16/2022,10/21/2021,Cancer,A+,832-65-0566
436,Phil,Vynehall,29,Male,7/15/1922,11/29/2020,1/6/2020,Diabetes,O-,412-78-2627
437,Addy,Tolson,63,Male,11/20/1991,5/8/2022,10/19/2021,Stroke,O-,768-32-4416
438,Cindie,Duddin,108,Female,7/23/1903,4/15/2022,1/30/2020,COVID-19,O+,355-50-0478
439,Deedee,Bartels,46,Female,9/29/1957,7/8/2022,11/18/2022,Stroke,AB+,230-53-6806
440,Fleming,Campelli,23,Male,8/18/1973,7/9/2021,9/17/2021,Heart Disease,O-,121-36-7377
441,Miguelita,Buckam,43,Female,11/23/1929,11/27/2020,5/30/2020,Stroke,B-,842-30-6122
442,Blondelle,Huntress,38,Female,6/15/1911,8/30/2022,10/3/2021,COVID-19,O+,599-01-7461
443,Valentia,Hatterslay,27,Female,11/11/1981,8/17/2020,8/18/2021,Heart Disease,O-,456-74-6705
444,Urban,Grimstead,105,Male,12/20/1926,7/25/2020,12/23/2020,Cancer,O+,841-72-2276
445,Gail,Amsberger,54,Female,6/29/1919,3/25/2020,11/29/2022,COVID-19,AB+,204-49-9527
446,Cornelia,Noller,106,Female,5/30/1967,6/14/2020,1/21/2020,COVID-19,A-,114-53-2903
447,Shaun,Lauritsen,120,Female,10/26/1902,8/7/2020,5/27/2022,Cancer,O+,872-75-3554
448,Una,Cowburn,90,Female,11/11/1952,4/2/2022,6/9/2022,COVID-19,A+,167-63-2033
449,Krystle,Boydle,87,Female,10/23/1989,10/13/2021,1/18/2022,Stroke,O-,544-19-8975
450,Tanya,Solomon,107,Female,11/27/1977,1/18/2022,8/21/2022,Cancer,A-,555-06-3143
451,Xylina,Gerard,34,Female,1/21/2008,7/23/2021,6/30/2020,Stroke,AB+,389-36-4178
452,Terri-jo,O'Hern,15,Female,12/16/1993,6/1/2022,2/17/2022,Stroke,B+,524-40-4757
453,Nikolai,Schuchmacher,17,Male,2/11/1966,4/8/2021,9/28/2022,Diabetes,B-,104-54-4795
454,Jacob,Bauldrey,69,Male,12/11/1922,7/14/2022,9/25/2020,COVID-19,A-,532-82-7802
455,Cull,Bonafacino,26,Male,3/23/1938,5/22/2020,7/14/2022,Heart Disease,O-,617-81-6493
456,Flin,Beeck,81,Male,5/31/2019,2/21/2022,3/24/2020,Heart Disease,A-,823-08-2975
457,Temple,Gillcrist,77,Male,5/9/1976,3/27/2021,9/6/2021,Heart Disease,AB-,429-03-1803
458,Dallas,Vasilyevski,48,Male,5/15/1985,8/9/2021,1/11/2020,COVID-19,AB-,712-65-5855
459,Georgette,Maro,83,Female,3/10/2021,2/16/2020,9/19/2022,Cancer,O+,220-69-3778
460,Nollie,Tizard,50,Female,11/24/1987,3/21/2020,4/12/2022,Stroke,AB-,286-53-2701
461,Benoit,Hallt,99,Male,6/3/2001,1/7/2021,4/27/2021,Diabetes,B-,539-71-1130
462,Petronille,Mewett,30,Polygender,1/13/1911,1/27/2020,12/16/2022,Cancer,AB+,865-33-4795
463,Helaina,Huertas,52,Female,4/30/1998,11/15/2020,12/16/2021,Diabetes,A-,769-37-9693
464,Maynard,Ferrino,62,Male,10/17/1967,11/15/2021,2/25/2020,COVID-19,AB+,435-79-8214
465,Millisent,Collibear,24,Female,12/31/1984,10/28/2022,6/12/2021,Heart Disease,AB-,688-26-2921
466,Lola,Longhurst,57,Female,4/2/1931,3/30/2020,11/15/2022,COVID-19,A-,164-17-7064
467,Morissa,Saffin,36,Female,4/15/1903,9/11/2021,1/13/2021,Cancer,A+,559-69-6282
468,Aggie,Peto,11,Female,3/31/2018,1/14/2022,7/8/2022,Heart Disease,B-,158-58-4566
469,Euphemia,Froude,23,Female,9/9/2010,3/13/2020,1/25/2021,Diabetes,A+,194-72-8830
470,Toinette,Dundendale,110,Female,5/1/1975,2/16/2022,11/16/2021,COVID-19,AB-,472-97-5549
471,Merla,Graveson,98,Female,6/19/2020,8/4/2021,9/19/2021,Stroke,AB-,197-36-7695
472,Aline,Coke,50,Female,4/7/2003,5/12/2022,11/28/2022,COVID-19,B+,127-21-1990
473,Meredeth,Josofovitz,103,Male,11/29/2013,5/23/2020,9/8/2020,COVID-19,B-,186-24-2258
474,Jonis,Matczak,117,Non-binary,10/28/1902,7/11/2021,7/27/2020,Cancer,AB+,873-37-3849
475,Jen,Clinnick,88,Female,1/30/2018,5/12/2022,12/12/2020,Cancer,O-,646-57-6961
476,Dorian,Lukes,19,Female,4/15/1925,9/1/2021,4/15/2022,COVID-19,AB+,249-52-9159
477,Ernestine,Willimot,57,Female,5/26/1986,8/22/2020,4/9/2021,Heart Disease,A-,236-36-9157
478,Nat,Lighton,34,Male,11/11/1927,3/10/2020,10/13/2020,Cancer,B-,454-63-5636
479,Dennis,Valentim,62,Male,2/18/1980,9/12/2021,11/18/2020,Diabetes,O+,421-33-4020
480,Fair,Batchley,37,Male,2/9/1908,1/14/2021,5/30/2022,Diabetes,AB-,424-88-4358
481,Niven,Heppenspall,40,Male,1/21/1904,3/5/2022,10/11/2021,Diabetes,B+,497-49-2560
482,Bradford,Maginot,61,Bigender,4/24/1933,3/17/2022,7/1/2022,Cancer,A-,710-16-4090
483,Theresina,Piris,39,Non-binary,4/7/1901,4/26/2022,7/7/2020,Diabetes,B+,531-32-3470
484,Myriam,Tugwell,63,Female,4/18/2012,8/9/2021,2/27/2020,Heart Disease,B+,115-99-4376
485,Magdalena,Olek,35,Female,10/11/2009,9/1/2021,5/7/2022,COVID-19,A-,160-06-1669
486,Geoff,Juara,13,Male,4/4/1987,7/16/2020,5/12/2021,Cancer,A-,573-30-3562
487,Hugh,Sandry,47,Male,10/22/1914,12/14/2020,4/11/2020,Diabetes,B+,430-32-3794
488,Kalle,Limeburner,94,Male,3/25/2022,3/14/2022,3/28/2020,Cancer,B-,881-09-0642
489,Karissa,Dolman,65,Female,4/11/1927,9/19/2020,1/7/2021,Heart Disease,AB-,630-47-2459
490,Liana,Cracknell,38,Agender,8/16/1969,5/4/2020,5/16/2022,Diabetes,AB+,406-21-4405
491,Philip,Boodell,35,Male,2/21/1953,11/21/2022,9/7/2020,Stroke,AB-,278-83-3303
492,Teressa,De Cleyne,42,Female,12/20/1985,8/15/2022,7/31/2020,Stroke,O+,163-42-0299
493,Thorny,Dowles,7,Male,5/16/1947,12/20/2020,8/18/2020,COVID-19,O+,775-66-2571
494,Port,Burgisi,52,Male,5/30/1905,5/30/2021,11/29/2022,Cancer,AB-,607-70-9797
495,Rudie,Keggin,109,Male,1/21/1920,9/13/2021,4/20/2021,Heart Disease,A+,573-28-7275
496,Patricio,Puckett,65,Male,6/17/1996,3/4/2022,11/5/2022,Heart Disease,A-,438-57-4499
497,Sibylle,MacAlester,24,Female,7/10/2000,11/5/2022,4/3/2022,Cancer,B+,880-58-7047
498,Clyve,Rickards,37,Male,10/9/1942,12/24/2020,5/1/2020,Cancer,AB-,468-40-1855
499,Neill,Setterfield,50,Male,10/23/1908,10/23/2022,8/25/2021,Diabetes,O+,355-40-9658
500,Brandy,McTurlough,92,Genderqueer,1/30/1942,8/21/2020,5/15/2021,Diabetes,AB-,588-08-2580
501,Paulie,Gemelli,82,Male,5/4/1970,8/26/2021,3/29/2021,Cancer,A-,417-81-5542
502,Lanie,McCotter,79,Female,7/23/1994,2/20/2021,3/1/2021,Heart Disease,O+,400-82-8031
503,Riane,Wannell,2,Female,5/7/1942,11/29/2020,2/25/2022,Cancer,A-,528-13-3461
504,Ollie,Larmett,97,Female,5/29/1956,5/3/2022,5/1/2021,Diabetes,AB-,554-91-4274
505,Bonnibelle,Harnor,56,Female,1/14/2011,4/8/2021,6/3/2021,Stroke,B+,707-16-7024
506,Jess,Zuanelli,10,Female,5/30/1998,11/14/2022,9/18/2022,Cancer,B+,439-94-9700
507,Jolene,Durran,97,Female,12/4/2018,10/25/2022,1/3/2021,Diabetes,O+,357-84-5018
508,Aland,Fochs,88,Male,1/21/2017,12/26/2022,7/18/2020,Diabetes,O-,100-30-7514
509,Mamie,Brick,34,Female,11/3/1990,6/12/2021,9/22/2022,Stroke,AB+,822-04-2833
